type,secteur,etage,surface habitable,surface totale,nbr chambre,nbr salleBain,salon,age de bien,prix
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",oulfa,1,53,53,2,1,1,6-10 ans,300 000 DH
"appartements, à vendre",2 mars,6,134,134,3,2,2,6-10 ans,1 500 000 DH
"appartements, à vendre",quartier des hôpitaux,5,204,None,3,2,2,None,None
"appartements, à vendre",oulfa,3,68,68,2,1,1,6-10 ans,650 000 DH
"appartements, à vendre",oulfa,2,52,52,2,1,1,6-10 ans,300 000 DH
"appartements, à vendre",sidi moumen,4,52,52,2,1,1,None,280 000 DH
"appartements, à vendre",sidi bernoussi,2,70,81,2,2,1,neuf,840 000 DH
"appartements, à vendre",aïn borja,4,51,51,1,1,1,None,560 000 DH
"appartements, à vendre",sidi moumen,7+,85,85,3,2,2,11-20 ans,650 000 DH
"appartements, à vendre",oulfa,2,70,80,3,1,1,21+ ans,77 DH
"appartements, à vendre",sidi maarouf,rez de chaussée,56,56,2,1,1,None,None
"appartements, à louer",val fleuri,3,100,None,2,1,1,None,6 000 DH
"appartements, à vendre",casablanca finance city,rez de chaussée,196,None,3,2,2,1-5 ans,4 850 000 DH
"appartements, à vendre",bourgogne,2,91,91,2,1,1,1-5 ans,950 000 DH
"appartements, à vendre",oulfa,2,69,69,2,1,1,11-20 ans,750 000 DH
"appartements, à vendre",aïn chock,3,94,94,2,2,2,None,1 450 000 DH
"appartements, à vendre",californie,2,115,None,3,2,1,6-10 ans,185 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",sidi maarouf,2,None,128,2,1,2,6-10 ans,1 200 000 DH
"appartements, à vendre",roches noires,1,79,79,2,1,1,11-20 ans,840 000 DH
"appartements, à vendre",aïn chock,2,121,121,3,2,1,1-5 ans,1 875 500 DH
"appartements, à vendre",aïn diab,1,105,111,2,2,1,6-10 ans,3 990 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",hay albaraka,4,86,86,1,1,3,21+ ans,11 111 111 DH
"appartements, à vendre",polo,1,550,1010,8,3,2,21+ ans,9 000 000 DH
"appartements, à vendre",None,4,52,52,2,2,1,6-10 ans,250 000 DH
"appartements, à vendre",hay inara,3,52,None,2,1,1,None,None
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",sidi bernoussi,3,111,111,3,2,1,None,1 050 000 DH
"appartements, à vendre",oulfa,3,72,72,2,1,1,1-5 ans,800 000 DH
"appartements, à vendre",racine,2,195,195,3,3,2,6-10 ans,3 900 000 DH
"appartements, à vendre",aïn chock,3,88,88,2,2,1,6-10 ans,1 050 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",les princesses,rez de chaussée,64,137,1,1,1,6-10 ans,1 500 000 DH
"appartements, à vendre",sidi maarouf,1,72,72,2,1,1,11-20 ans,850 000 DH
"appartements, à vendre",autre secteur,rez de chaussée,82,82,2,1,1,6-10 ans,1 150 000 DH
"appartements, à vendre",maarif,4,36,None,1,1,1,neuf,720 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",aïn borja,2,86,86,2,2,2,6-10 ans,None
"appartements, à vendre",centre ville,4,125,136,3,2,2,21+ ans,1 200 000 DH
"appartements, à vendre",casablanca finance city,3,58,None,1,1,1,None,1 620 000 DH
"appartements, à vendre",sidi maarouf,1,57,57,2,1,1,neuf,570 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",oulfa,4,56,56,2,1,1,None,300 000 DH
"appartements, à vendre",sidi bernoussi,2,96,None,2,2,2,None,None
"appartements, à vendre",sidi othmane,3,69,69,3,1,1,6-10 ans,540 000 DH
"appartements, à vendre",belvédère,5,113,None,2,2,2,None,1 100 000 DH
"appartements, à vendre",sidi bernoussi,3,68,81,2,1,1,1-5 ans,10 DH
"appartements, à vendre",mers sultan,3,70,106,2,2,1,6-10 ans,1 400 000 DH
"appartements, à vendre",la gironde,1,75,88,3,1,1,11-20 ans,750 000 DH
"appartements, à vendre",ferme bretone,3,151,None,3,3,2,1-5 ans,2 900 000 DH
"appartements, à vendre",hay mohammadi,1,None,74,1,1,2,None,640 000 DH
"appartements, à vendre",oulfa,2,62,62,2,1,1,11-20 ans,None
"appartements, à vendre",sidi maarouf,rez de chaussée,105,115,2,2,2,None,1 100 000 DH
"appartements, à vendre",bourgogne,2,69,74,2,2,2,neuf,18 500 DH
"appartements, à vendre",maarif,5,124,None,2,2,1,11-20 ans,2 100 000 DH
"appartements, à vendre",casablanca finance city,2,44,58,1,2,1,1-5 ans,1 645 000 DH
"appartements, à vendre",oulfa,2,50,50,2,1,1,6-10 ans,380 000 DH
"appartements, à vendre",centre ville,5,35,35,1,1,1,21+ ans,150 000 DH
"appartements, à vendre",oulfa,3,50,None,2,1,1,1-5 ans,350 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",oulfa,3,82,82,2,1,1,6-10 ans,800 000 DH
"appartements, à vendre",hay hassani,3,40,40,1,1,1,21+ ans,300 000 DH
"appartements, à vendre",oulfa,1,52,52,2,1,1,6-10 ans,310 000 DH
"appartements, à vendre",oulfa,3,68,68,2,1,1,6-10 ans,650 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",gauthier,4,133,133,4,2,1,21+ ans,1 950 000 DH
"appartements, à vendre",aïn sebaâ,1,56,58,2,1,1,neuf,350 000 DH
"appartements, à vendre",hay mohammadi,4,103,120,2,2,1,1-5 ans,11 000 DH
"appartements, à vendre",belvédère,7+,120,124,3,2,1,11-20 ans,1 400 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",al fida,8,30,35,1,1,1,6-10 ans,390 000 DH
"appartements, à vendre",oulfa,3,50,50,2,1,1,6-10 ans,300 000 DH
"appartements, à vendre",roches noires,2,77,77,2,1,1,11-20 ans,750 000 DH
"appartements, à vendre",les princesses,7+,121,137,2,2,2,1-5 ans,2 500 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",aïn chock,1,80,88,3,1,1,6-10 ans,990 000 DH
"appartements, à vendre",c.i.l,3,202,None,2,2,1,None,None
"appartements, à vendre",fonciere,4,105,None,2,2,1,11-20 ans,1 200 000 DH
"appartements, à vendre",sidi moumen,rez de chaussée,62,70,2,2,1,None,40 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",oulfa,2,50,60,2,1,1,6-10 ans,400 000 DH
"appartements, à vendre",sidi bernoussi,3,74,None,2,2,2,None,500 000 DH
"appartements, à vendre",beauséjour,4,116,None,2,2,1,11-20 ans,1 500 000 DH
"appartements, à vendre",ben m'sick,1,6,None,1,1,1,None,200 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",None,1,76,76,2,2,1,6-10 ans,650 000 DH
"appartements, à vendre",beauséjour,1,90,90,2,1,1,11-20 ans,680 000 DH
"appartements, à vendre",sidi maarouf,1,22,22,1,1,0,11-20 ans,160 000 DH
"appartements, à vendre",autre secteur,4,130,140,3,2,1,6-10 ans,11 DH
"appartements, à vendre",oulfa,2,60,60,2,1,1,11-20 ans,580 000 DH
"appartements, à vendre",None,1,70,70,3,1,1,1-5 ans,420 000 DH
"appartements, à vendre",2 mars,1,1,None,2,1,1,None,None
"appartements, à vendre",oasis,1,300,400,4,2,2,21+ ans,None
"appartements, à vendre",None,3,54,54,2,2,1,6-10 ans,280 000 DH
"appartements, à vendre",aïn chock,1,84,87,2,2,1,11-20 ans,6 500 DH
"appartements, à vendre",derb omar,5,67,67,2,2,1,None,790 000 DH
"appartements, à vendre",belvédère,rez de chaussée,49,16,1,1,1,11-20 ans,670 000 DH
"appartements, à vendre",aïn borja,3,52,52,2,1,1,11-20 ans,None
"appartements, à vendre",aïn chock,2,100,100,2,1,1,21+ ans,700 000 DH
"appartements, à vendre",derb ghallef,4,105,None,2,2,1,None,1 100 000 DH
"appartements, à vendre",oulfa,2,56,59,2,1,1,11-20 ans,650 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",sidi moumen,rez de chaussée,50,None,2,1,1,6-10 ans,360 000 DH
"appartements, à vendre",ben ejdia,1,1,None,2,1,1,neuf,1 250 000 DH
"appartements, à vendre",bourgogne,6,88,88,2,1,1,11-20 ans,1 150 000 DH
"appartements, à vendre",None,1,84,84,2,2,1,None,10 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",aïn sebaâ,2,58,60,2,1,1,None,450 000 DH
"appartements, à vendre",hay hassani,3,71,76,3,2,2,6-10 ans,640 000 DH
"appartements, à vendre",florida,3,115,115,3,2,1,6-10 ans,1 280 000 DH
"appartements, à vendre",hay hassani,rez de chaussée,60,67,2,1,1,11-20 ans,375 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",sidi maarouf,1,94,94,3,2,1,1-5 ans,None
"appartements, à vendre",sidi moumen,1,111,111,2,2,2,neuf,30 DH
"appartements, à vendre",aïn sebaâ,4,103,None,3,2,1,6-10 ans,1 220 000 DH
"appartements, à vendre",oulfa,2,48,48,2,1,1,6-10 ans,400 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",sidi maarouf,rez de chaussée,50,55,2,1,1,11-20 ans,None
"appartements, à vendre",belvédère,7+,215,215,4,2,3,11-20 ans,None
"appartements, à vendre",californie,3,190,None,3,3,3,None,2 400 000 DH
"appartements, à vendre",sidi maarouf,4,None,None,2,2,1,None,1 100 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",al fida,4,84,None,3,2,1,6-10 ans,None
"appartements, à vendre",belvédère,6,150,150,3,2,1,6-10 ans,2 100 000 DH
"appartements, à vendre",oulfa,1,53,53,2,1,1,6-10 ans,300 000 DH
"appartements, à vendre",oulfa,4,54,54,2,1,1,6-10 ans,230 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",hay hassani,3,40,40,1,1,1,6-10 ans,300 000 DH
"appartements, à vendre",oulfa,3,53,53,2,1,1,6-10 ans,290 000 DH
"appartements, à vendre",oulfa,1,68,68,2,1,1,6-10 ans,650 000 DH
"appartements, à vendre",oulfa,2,96,99,4,1,1,11-20 ans,980 000 DH
"appartements, à vendre",belvédère,2,120,120,3,2,2,6-10 ans,1 100 000 DH
"appartements, à vendre",oulfa,rez de chaussée,60,65,2,1,2,6-10 ans,None
"appartements, à vendre",palmier,3,148,None,3,2,2,6-10 ans,220 DH
"appartements, à vendre",None,3,60,None,3,1,1,neuf,25 000 000 DH
"appartements, à vendre",aïn chock,1,60,60,1,1,2,neuf,590 000 DH
"appartements, à vendre",sidi moumen,3,54,54,2,1,1,6-10 ans,None
"appartements, à vendre",maarif,1,165,165,3,2,2,None,17 999 DH
"appartements, à vendre",sidi maarouf,rez de chaussée,62,80,2,2,1,neuf,750 000 DH
"appartements, à vendre",oulfa,1,1140,158,3,2,1,1-5 ans,140 000 DH
"appartements, à vendre",lissasfa,rez de chaussée,56,56,2,1,1,1-5 ans,None
"appartements, à vendre",sidi maarouf,4,75,75,2,1,1,11-20 ans,None
"appartements, à vendre",hay moulay rachid 4,1,69,69,3,1,1,6-10 ans,560 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",californie,1,147,None,2,3,3,11-20 ans,2 000 000 DH
"appartements, à vendre",autre secteur,3,80,100,2,1,2,6-10 ans,None
"appartements, à vendre",None,3,56,56,2,1,1,1-5 ans,None
"appartements, à vendre",centre ville,5,82,82,2,1,1,6-10 ans,700 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",aïn borja,1,83,97,2,2,2,11-20 ans,770 000 DH
"appartements, à vendre",aïn sebaâ,1,58,56,2,1,1,neuf,350 000 DH
"appartements, à vendre",sbata,1,85,85,2,1,1,6-10 ans,390 000 DH
"appartements, à vendre",beauséjour,2,93,None,2,1,2,11-20 ans,850 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",bourgogne,3,94,100,3,2,1,21+ ans,1 000 000 DH
"appartements, à vendre",les princesses,1,1,None,2,1,1,None,None
"appartements, à vendre",2 mars,1,1,None,2,1,1,None,None
"appartements, à vendre",lissasfa,3,51,51,2,None,None,1-5 ans,310 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",hay mohammadi,2,None,2,2,1,1,neuf,390 000 DH
"appartements, à vendre",aïn chock,2,97,132,3,2,2,None,1 280 000 DH
"appartements, à vendre",sidi moumen,2,90,1000,2,1,1,11-20 ans,None
"appartements, à vendre",sidi bernoussi,4,75,None,2,2,None,neuf,545 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",sidi moumen,4,74,None,2,2,None,neuf,545 000 DH
"appartements, à vendre",oulfa,2,66,66,2,1,1,None,660 000 DH
"appartements, à vendre",aïn sebaâ,4,99,99,3,2,1,1-5 ans,1 039 500 DH
"appartements, à vendre",ferme bretone,4,94,97,3,2,1,6-10 ans,1 750 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",hay mohammadi,4,57,None,2,1,1,None,460 000 DH
"appartements, à vendre",aïn borja,2,112,None,2,1,1,6-10 ans,900 000 DH
"appartements, à vendre",ben m'sick,2,73,73,2,1,1,None,450 000 DH
"appartements, à vendre",hay mohammadi,1,76,None,2,1,2,None,560 000 DH
"appartements, à vendre",casablanca finance city,3,88,None,3,3,1,neuf,1 463 700 DH
"appartements, à vendre",laimoune,2,123,123,3,2,2,None,None
"appartements, à vendre",derb ghallef,3,109,109,2,None,None,None,1 200 000 DH
"appartements, à vendre",californie,4,88,118,2,2,1,None,1 600 000 DH
"appartements, à vendre",None,4,53,None,2,1,1,neuf,50 000 DH
"appartements, à vendre",aïn borja,5,106,106,2,2,1,1-5 ans,110 DH
"appartements, à vendre",maarif,3,124,124,3,3,1,6-10 ans,1 780 000 DH
"appartements, à vendre",oulfa,2,51,51,2,1,1,1-5 ans,320 000 DH
"appartements, à vendre",californie,1,91,91,2,2,1,neuf,1 220 000 DH
"appartements, à vendre",sidi maarouf,2,165,None,4,2,0,None,1 300 000 DH
"appartements, à vendre",al fida,5,66,66,2,1,1,neuf,None
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",centre ville,1,75,88,3,1,1,11-20 ans,750 000 DH
"appartements, à vendre",sidi maarouf,2,90,90,2,2,1,11-20 ans,990 000 DH
"appartements, à vendre",maarif,1,52,58,1,1,1,neuf,1 000 000 DH
"appartements, à vendre",mers sultan,4,58,58,1,1,1,6-10 ans,900 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",mers sultan,2,73,85,2,2,1,11-20 ans,730 000 DH
"appartements, à vendre",maarif,3,83,87,2,1,2,21+ ans,780 000 DH
"appartements, à vendre",beauséjour,1,206,206,3,2,1,11-20 ans,3 200 000 DH
"appartements, à vendre",bourgogne,6,120,132,3,2,2,21+ ans,1 500 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",maarif,7+,120,120,2,3,1,6-10 ans,1 550 000 DH
"appartements, à vendre",sidi maarouf,1,112,None,3,2,1,6-10 ans,None
"appartements, à vendre",sidi maarouf,2,100,115,3,2,1,6-10 ans,None
"appartements, à vendre",sidi maarouf,4,114,114,3,2,1,11-20 ans,1 100 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",sidi maarouf,5,76,76,2,1,1,11-20 ans,760 000 DH
"appartements, à vendre",sidi maarouf,3,54,54,2,1,1,11-20 ans,300 000 DH
"appartements, à vendre",tantonville,3,123,None,1,1,1,6-10 ans,1 880 000 DH
"appartements, à vendre",maarif,7+,197,197,3,3,2,11-20 ans,3 200 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",2 mars,5,136,None,3,2,2,None,1 450 000 DH
"appartements, à vendre",None,rez de chaussée,60,60,2,1,1,11-20 ans,400 000 DH
"appartements, à vendre",oulfa,3,53,53,2,1,1,6-10 ans,300 000 DH
"appartements, à vendre",oulfa,3,82,82,2,1,1,6-10 ans,820 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",hay hassani,3,40,40,1,1,1,6-10 ans,300 000 DH
"appartements, à vendre",oulfa,3,68,68,2,1,1,6-10 ans,650 000 DH
"appartements, à vendre",oulfa,2,50,50,2,2,1,6-10 ans,400 000 DH
"appartements, à vendre",oulfa,1,84,83,3,2,1,1-5 ans,None
"appartements, à vendre",autre secteur,2,80,80,2,1,2,neuf,580 000 DH
"appartements, à vendre",sidi maarouf,3,107,None,3,2,1,1-5 ans,110 000 000 DH
"appartements, à vendre",autre secteur,1,65,65,4,1,1,neuf,None
"appartements, à vendre",aïn sebaâ,3,62,68,2,2,1,6-10 ans,620 000 DH
"appartements, à vendre",sidi bernoussi,2,82,82,3,1,1,None,860 000 DH
"appartements, à vendre",quartier des hôpitaux,4,150,175,3,2,2,21+ ans,1 900 000 DH
"appartements, à vendre",les princesses,1,110,110,3,2,1,6-10 ans,22 900 000 DH
"appartements, à vendre",racine,4,217,None,4,2,3,11-20 ans,3 000 000 DH
"appartements, à vendre",maarif,4,76,76,2,1,1,11-20 ans,1 200 000 DH
"appartements, à vendre",sidi bernoussi,1,57,57,2,1,1,1-5 ans,380 000 DH
"appartements, à vendre",al qods,4,80,80,2,1,2,21+ ans,50 000 DH
"appartements, à vendre",sidi bernoussi,3,64,76,2,1,1,11-20 ans,420 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",oulfa,2,70,70,3,2,1,6-10 ans,None
"appartements, à vendre",la gironde,5,80,80,2,2,1,11-20 ans,780 000 DH
"appartements, à vendre",sidi maarouf,5,110,110,3,1,1,11-20 ans,1 000 000 DH
"appartements, à vendre",None,3,78,80,3,2,1,6-10 ans,1 200 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",aïn borja,1,None,30,1,1,None,6-10 ans,580 000 DH
"appartements, à vendre",les princesses,1,1,None,2,1,1,None,None
"appartements, à vendre",beauséjour,3,78,None,2,2,1,6-10 ans,None
"appartements, à vendre",autre secteur,1,109,None,2,2,1,21+ ans,None
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",oulfa,3,72,72,2,1,1,1-5 ans,830 000 DH
"appartements, à vendre",roches noires,2,103,None,3,2,1,neuf,1 185 000 DH
"appartements, à vendre",bourgogne,2,125,125,3,2,1,1-5 ans,19 500 DH
"appartements, à vendre",sidi maarouf,3,73,None,2,1,1,6-10 ans,730 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",aïn borja,3,120,120,3,2,1,11-20 ans,None
"appartements, à vendre",sidi othmane,4,54,54,2,1,1,11-20 ans,360 000 DH
"appartements, à vendre",aïn chock,2,98,98,2,2,1,11-20 ans,990 000 DH
"appartements, à vendre",maarif,rez de chaussée,111,152,2,2,1,neuf,13 500 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",oulfa,1,56,56,2,1,2,1-5 ans,400 000 DH
"appartements, à vendre",aïn borja,1,60,65,3,1,1,21+ ans,None
"appartements, à vendre",maarif,2,1,None,3,2,1,11-20 ans,None
"appartements, à vendre",sidi maarouf,2,75,80,2,1,2,None,4 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",beauséjour,5,77,89,2,2,1,11-20 ans,1 350 000 DH
"appartements, à vendre",palmier,7+,193,None,4,3,1,neuf,2 300 000 DH
"appartements, à vendre",2 mars,5,174,191,3,3,2,None,2 100 000 DH
"appartements, à vendre",2 mars,3,78,91,2,2,1,6-10 ans,1 600 000 DH
"appartements, à vendre",gauthier,2,151,None,4,3,1,neuf,2 500 000 DH
"appartements, à vendre",belvédère,7+,110,110,3,2,1,6-10 ans,900 000 DH
"appartements, à vendre",la gironde,1,75,88,3,1,1,11-20 ans,750 000 DH
"appartements, à vendre",None,1,58,58,2,1,1,neuf,240 000 DH
"appartements, à vendre",aïn sebaâ,2,93,93,2,2,1,21+ ans,800 000 DH
"appartements, à vendre",triangle d'or,3,94,94,2,2,1,6-10 ans,1 900 000 DH
"appartements, à vendre",2 mars,None,None,None,None,None,None,None,None
"appartements, à vendre",maarif,5,124,None,2,2,1,11-20 ans,2 100 000 DH
"appartements, à vendre",val fleuri,1,269,None,3,2,3,11-20 ans,3 950 000 DH
"appartements, à vendre",californie,1,103,None,3,2,1,None,1 700 000 DH
"appartements, à vendre",californie,4,85,85,2,1,1,neuf,7 500 DH
"appartements, à vendre",sidi moumen,3,51,51,2,1,1,6-10 ans,340 000 DH
"appartements, à vendre",maarif,3,53,57,2,2,1,neuf,900 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",maarif,3,109,None,3,2,1,11-20 ans,1 600 000 DH
"appartements, à vendre",sidi bernoussi,1,81,None,3,1,1,21+ ans,890 000 DH
"appartements, à vendre",oulfa,3,69,69,2,1,1,6-10 ans,630 000 DH
"appartements, à vendre",oulfa,3,52,52,2,1,1,6-10 ans,300 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",oulfa,3,40,40,1,1,1,None,300 000 DH
"appartements, à vendre",oulfa,1,52,52,2,1,1,6-10 ans,300 000 DH
"appartements, à vendre",None,1,52,52,2,1,1,6-10 ans,390 000 DH
"appartements, à vendre",val fleuri,4,165,169,3,2,2,11-20 ans,2 500 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",hay mohammadi,3,56,56,2,2,1,6-10 ans,50 000 000 DH
"appartements, à vendre",oasis,1,92,92,3,2,1,6-10 ans,1 350 000 DH
"appartements, à vendre",oulfa,4,None,55,2,2,1,None,None
"appartements, à vendre",gauthier,3,400,400,4,2,1,21+ ans,6 000 000 DH
